iter	Passed	Remaining
0	2	200
1	4	202
2	6	198
3	8	197
4	10	200
5	12	199
6	14	190
7	16	187
8	18	183
9	20	180
10	21	176
11	23	175
12	25	173
13	27	166
14	28	163
15	30	159
16	31	154
17	33	150
18	34	148
19	36	147
20	38	145
21	39	141
22	40	137
23	41	132
24	43	129
25	44	125
26	44	121
27	45	118
28	46	114
29	47	111
30	48	108
31	49	106
32	50	103
33	51	100
34	52	98
35	53	95
36	55	94
37	56	92
38	57	90
39	58	87
40	59	85
41	60	82
42	61	80
43	62	78
44	62	76
45	63	75
46	64	73
47	65	71
48	67	69
49	68	68
50	69	66
51	70	64
52	71	63
53	72	61
54	72	59
55	73	58
56	74	56
57	75	54
58	76	53
59	77	51
60	78	50
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	93	31
75	94	29
76	94	28
77	95	27
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	105	14
88	106	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
